2019-10-31 21:04:24 info: [交割合约] - 获取公共交割合约全量信息成功，共: 27 条 ...
2019-11-01 10:23:04 info: [交割合约] - 获取公共交割合约全量信息成功，共: 27 条 ...
2019-11-01 10:23:13 info: [交割合约] - 公共交割合约全量信息更新数据库成功 ...
2019-11-01 10:23:14 info: [永续合约] - 获取公共合约全量信息成功，共: 9 条 ...
2019-11-01 10:23:15 info: [永续合约] - 公共合约全量信息更新数据库成功 ...
2019-11-01 10:23:15 info: 获取合约candle数据需请求 2970 次 ...
2019-11-01 10:23:29 info: 获取 BTC-USD-191101/7200 K线成功: 从2019-09-28T18:23:15.798Z至2019-10-15T10:23:15.798Z, 共 200 条
2019-11-01 10:23:29 info: 获取 BTC-USD-191101/7200 K线成功: 从2019-08-26T10:23:15.798Z至2019-09-12T02:23:15.798Z, 共 200 条
2019-11-01 10:23:29 info: 获取 BTC-USD-191101/60 K线成功: 从2019-10-31T06:23:15.795Z至2019-10-31T09:43:15.795Z, 共 200 条
2019-11-01 10:23:31 info: 获取 BTC-USD-191101/14400 K线成功: 从2019-08-26T10:23:15.798Z至2019-09-28T18:23:15.798Z, 共 200 条
2019-11-01 10:23:31 info: 获取 BTC-USD-191101/14400 K线成功: 从2019-07-24T02:23:15.798Z至2019-08-26T10:23:15.798Z, 共 200 条
2019-11-01 10:23:31 info: 获取 BTC-USD-191101/14400 K线成功: 从2019-09-28T18:23:15.798Z至2019-11-01T02:23:15.798Z, 共 200 条
2019-11-01 10:23:31 info: 获取 BTC-USD-191101/14400 K线成功: 从2019-06-20T18:23:15.798Z至2019-07-24T02:23:15.798Z, 共 200 条
2019-11-01 10:23:31 info: 获取 BTC-USD-191101/14400 K线成功: 从2019-05-18T10:23:15.798Z至2019-06-20T18:23:15.798Z, 共 172 条
2019-11-01 10:23:38 info: 获取 BTC-USD-191101/21600 K线成功: 从2019-09-12T02:23:15.799Z至2019-11-01T02:23:15.799Z, 共 200 条
2019-11-01 10:23:38 info: 获取 BTC-USD-191101/21600 K线成功: 从2019-04-15T02:23:15.799Z至2019-06-04T02:23:15.799Z, 共 48 条
2019-11-01 10:23:38 info: 获取 BTC-USD-191101/21600 K线成功: 从2019-07-24T02:23:15.799Z至2019-09-12T02:23:15.799Z, 共 200 条
2019-11-01 10:23:38 info: 获取 BTC-USD-191101/21600 K线成功: 从2019-06-04T02:23:15.799Z至2019-07-24T02:23:15.799Z, 共 200 条
2019-11-01 10:23:38 info: 获取 BTC-USD-191101/21600 K线成功: 从2019-02-24T02:23:15.799Z至2019-04-15T02:23:15.799Z, 共 0 条
2019-11-01 10:23:38 info: 获取 BTC-USD-191101/43200 K线成功: 从2018-06-19T02:23:15.799Z至2018-09-27T02:23:15.799Z, 共 0 条
2019-11-01 10:23:38 info: 获取 BTC-USD-191101/43200 K线成功: 从2019-04-15T02:23:15.799Z至2019-07-24T02:23:15.799Z, 共 200 条
2019-11-01 10:23:39 info: 获取 BTC-USD-191101/43200 K线成功: 从2019-01-05T02:23:15.799Z至2019-04-15T02:23:15.799Z, 共 44 条
2019-11-01 10:23:39 info: 获取 BTC-USD-191101/43200 K线成功: 从2018-09-27T02:23:15.799Z至2019-01-05T02:23:15.799Z, 共 0 条
2019-11-01 10:23:39 info: 获取 BTC-USD-191101/43200 K线成功: 从2019-07-24T02:23:15.799Z至2019-11-01T02:23:15.799Z, 共 200 条
2019-11-01 10:23:40 info: 获取 BTC-USD-191101/21600 K线成功: 从2018-06-19T02:23:15.799Z至2018-08-08T02:23:15.799Z, 共 0 条
2019-11-01 10:23:41 info: 获取 BTC-USD-191101/43200 K线成功: 从2017-02-04T02:23:15.799Z至2017-05-15T02:23:15.799Z, 共 0 条
2019-11-01 10:23:41 info: 获取 BTC-USD-191101/43200 K线成功: 从2017-05-15T02:23:15.799Z至2017-08-23T02:23:15.799Z, 共 0 条
2019-11-01 10:23:42 info: 获取 BTC-USD-191101/86400 K线成功: 从2017-08-23T02:23:15.799Z至2018-03-11T02:23:15.799Z, 共 201 条
2019-11-01 10:23:42 info: 获取 BTC-USD-191101/86400 K线成功: 从2017-02-04T02:23:15.799Z至2017-08-23T02:23:15.800Z, 共 200 条
2019-11-01 10:23:42 info: 获取 BTC-USD-191101/86400 K线成功: 从2019-04-15T02:23:15.799Z至2019-11-01T02:23:15.799Z, 共 200 条
2019-11-01 10:23:42 info: 获取 BTC-USD-191101/86400 K线成功: 从2018-09-27T02:23:15.799Z至2019-04-15T02:23:15.799Z, 共 200 条
2019-11-01 10:23:42 info: 获取 BTC-USD-191101/86400 K线成功: 从2018-03-11T02:23:15.799Z至2018-09-27T02:23:15.799Z, 共 200 条
2019-11-01 10:23:42 info: 获取 BTC-USD-191101/21600 K线成功: 从2018-08-08T02:23:15.799Z至2018-09-27T02:23:15.799Z, 共 0 条
2019-11-01 10:23:42 info: 获取 BTC-USD-191101/43200 K线成功: 从2017-08-23T02:23:15.799Z至2017-12-01T02:23:15.799Z, 共 0 条
2019-11-01 10:23:42 info: 获取 BTC-USD-191101/43200 K线成功: 从2017-12-01T02:23:15.799Z至2018-03-11T02:23:15.799Z, 共 0 条
2019-11-01 10:23:44 info: 获取 BTC-USD-191101/43200 K线成功: 从2018-03-11T02:23:15.799Z至2018-06-19T02:23:15.799Z, 共 0 条
2019-11-01 10:23:44 info: 获取 BTC-USD-191101/21600 K线成功: 从2018-09-27T02:23:15.799Z至2018-11-16T02:23:15.799Z, 共 0 条
2019-11-01 10:23:44 info: 获取 BTC-USD-191108/60 K线成功: 从2019-10-31T19:43:15.794Z至2019-10-31T23:03:15.794Z, 共 200 条
